PLAYER_ID,PLAYER,TEAM,GP,MIN,FGA,FG_PCT,REB,AST,PTS,EFF,MIN_per_game,FGA_per_game,REB_per_game,AST_per_game,PTS_per_game,EFF_per_game,MIN_per_game_rank,FGA_per_game_rank,REB_per_game_rank,AST_per_game_rank,PTS_per_game_rank,EFF_per_game_rank,GP_rank,MIN_rank,FGA_rank,FG_PCT_rank,REB_rank,AST_rank,PTS_rank,EFF_rank,SEASON,MVP,TEAM_ID,CONF_RANK,WIN_PCT,PTS_RANK
203999,Nikola Jokic,DEN,6,226,116,0.56,74,59,179,248,37.66666667,19.33333333,12.33333333,9.833333333,29.83333333,41.33333333,5,11,3.5,3.5,5,1,34,13,14,10.5,6.5,3.5,7,1,2024-25,0,1610612743,11,0.5,14
203076,Anthony Davis,LAL,6,215,117,0.573,72,17,191,224,35.83333333,19.5,12,2.833333333,31.83333333,37.33333333,14,9,6,42,1,2,34,21,13,9,8.5,43,2,2,2024-25,0,1610612747,5,0.667,13
203507,Giannis Antetokounmpo,MIL,6,211,120,0.633,74,38,186,212,35.16666667,20,12.33333333,6.333333333,31,35.33333333,18,6,3.5,11,2,3,34,25,12,3,6.5,12,4.5,3,2024-25,0,1610612749,15,0.167,21
1628369,Jayson Tatum,BOS,7,246,139,0.482,53,32,212,209,35.14285714,19.85714286,7.571428571,4.571428571,30.28571429,29.85714286,19,7.5,24,22,3,5,10,4,2.5,30,19.5,18.5,1,4,2024-25,0,1610612738,2,0.857,1
1627734,Domantas Sabonis,SAC,6,221,74,0.622,78,38,129,198,36.83333333,12.33333333,13,6.333333333,21.5,33,8,43,1.5,11,27.5,4,34,16.5,42.5,4.5,4,12,29.5,5,2024-25,0,1610612758,10,0.5,12
1629027,Trae Young,ATL,7,265,133,0.414,35,82,189,197,37.85714286,19,5,11.71428571,27,28.14285714,4,13,38.5,1,9,10,10,1,5.5,46,34.5,1,3,6,2024-25,0,1610612737,7,0.429,5
1628983,Shai Gilgeous-Alexander,OKC,6,189,121,0.471,40,39,159,178,31.5,20.16666667,6.666666667,6.5,26.5,29.66666667,35,5,29.5,9,12,7,34,40,11,36,31,10,14,7,2024-25,0,1610612760,1,1,16
1628386,Jarrett Allen,CLE,7,205,56,0.732,78,8,106,177,29.28571429,8,11.14285714,1.142857143,15.14285714,25.28571429,41,48,11,50,44,16,10,32,48,2,4,49,40.5,8,2024-25,0,1610612739,1,1,2
202696,Nikola Vucevic,CHI,6,200,87,0.552,66,20,129,171,33.33333333,14.5,11,3.333333333,21.5,28.5,28,29,12,33,27.5,9,34,35.5,36,12,13,35,29.5,9,2024-25,0,1610612741,5,0.5,19
1627742,Brandon Ingram,NOP,7,227,132,0.508,45,29,170,168,32.42857143,18.85714286,6.428571429,4.142857143,24.28571429,24,31,14,31,25,18,24,10,12,7,21,24,23.5,9.5,10,2024-25,0,1610612740,12,0.429,7
1627751,Jakob Poeltl,TOR,7,228,72,0.583,84,20,101,166,32.57142857,10.28571429,12,2.857142857,14.42857143,23.71428571,30,47,6,40.5,46,25,10,11,44,7,1,35,45,11,2024-25,0,1610612761,12,0.286,3
1630596,Evan Mobley,CLE,7,207,91,0.56,60,19,124,164,29.57142857,13,8.571428571,2.714285714,17.71428571,23.42857143,38.5,40.5,19,43.5,37,26,10,27.5,32,10.5,14,39,33,12,2024-25,0,1610612739,1,1,2
1630595,Cade Cunningham,DET,7,251,134,0.493,40,48,169,161,35.85714286,19.14285714,5.714285714,6.857142857,24.14285714,23,13,12,32,7,19,27.5,10,3,4,27,31,6,11,13,2024-25,0,1610612765,13,0.286,10
201935,James Harden,LAC,6,213,108,0.361,53,65,131,157,35.5,18,8.833333333,10.83333333,21.83333333,26.16666667,16,16,17,2,26,11,34,23,16,50,19.5,2,27.5,14,2024-25,0,1610612746,13,0.333,24
203471,Dennis Shroeder,BKN,7,243,94,0.511,22,52,139,156,34.71428571,13.42857143,3.142857143,7.428571429,19.85714286,22.28571429,20,37,47,5,31,33.5,10,5,28,20,47,5,23,15.5,2024-25,0,1610612751,8,0.429,6
